market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,3e-06,2025-06-11 02:00:15,2025-06-11 02:05:36
100000BABYDOGE-USD-SWAP-LIN,3e-06,2025-06-11 03:00:18,2025-06-11 03:29:47
100000BABYDOGE-USD-SWAP-LIN,5e-06,2025-06-11 04:00:15,2025-06-11 04:41:31
100000JAGER-USD-SWAP-LIN,-6e-06,2025-06-11 02:00:24,2025-06-11 02:16:17
100000JAGER-USD-SWAP-LIN,-1.3e-05,2025-06-11 03:00:28,2025-06-11 03:40:29
100000JAGER-USD-SWAP-LIN,-8e-06,2025-06-11 04:00:27,2025-06-11 04:52:10
10000CAW-USD-SWAP-LIN,1.1e-05,2025-06-11 02:00:13,2025-06-11 02:03:54
10000CAW-USD-SWAP-LIN,4.1e-05,2025-06-11 03:00:14,2025-06-11 03:28:06
10000CAW-USD-SWAP-LIN,-6e-06,2025-06-11 04:00:14,2025-06-11 04:39:51
1000ANDY-USD-SWAP-LIN,3e-06,2025-06-11 02:00:10,2025-06-11 02:02:20
1000ANDY-USD-SWAP-LIN,2e-06,2025-06-11 03:00:12,2025-06-11 03:26:32
1000ANDY-USD-SWAP-LIN,-3e-06,2025-06-11 04:00:12,2025-06-11 04:38:16
1000BOBO-USD-SWAP-LIN,7.6e-05,2025-06-11 02:00:13,2025-06-11 02:03:11
1000BOBO-USD-SWAP-LIN,6.4e-05,2025-06-11 03:00:13,2025-06-11 03:27:22
1000BOBO-USD-SWAP-LIN,5.6e-05,2025-06-11 04:00:13,2025-06-11 04:39:06
1000BONK-USD-SWAP-LIN,-5e-06,2025-06-11 02:00:10,2025-06-11 02:02:06
1000BONK-USD-SWAP-LIN,-7e-06,2025-06-11 03:00:12,2025-06-11 03:26:17
1000BONK-USD-SWAP-LIN,-1e-05,2025-06-11 04:00:12,2025-06-11 04:38:02
1000CAT-USD-SWAP-LIN,6e-06,2025-06-11 02:00:14,2025-06-11 02:04:38
1000CAT-USD-SWAP-LIN,5e-06,2025-06-11 03:00:14,2025-06-11 03:28:49
1000CAT-USD-SWAP-LIN,5e-06,2025-06-11 04:00:14,2025-06-11 04:40:33
1000CHEEMS-USD-SWAP-LIN,-3e-06,2025-06-11 02:00:15,2025-06-11 02:05:47
1000CHEEMS-USD-SWAP-LIN,-3e-06,2025-06-11 03:00:18,2025-06-11 03:29:57
1000CHEEMS-USD-SWAP-LIN,-2e-06,2025-06-11 04:00:15,2025-06-11 04:41:42
1000COQ-USD-SWAP-LIN,-2e-06,2025-06-11 02:00:10,2025-06-11 02:02:24
1000COQ-USD-SWAP-LIN,5e-06,2025-06-11 03:00:12,2025-06-11 03:26:35
1000COQ-USD-SWAP-LIN,-1.1e-05,2025-06-11 04:00:12,2025-06-11 04:38:20
1000FLOKI-USD-SWAP-LIN,0.0,2025-06-11 02:00:10,2025-06-11 02:02:16
1000FLOKI-USD-SWAP-LIN,-7e-06,2025-06-11 03:00:12,2025-06-11 03:26:28
1000FLOKI-USD-SWAP-LIN,-5e-06,2025-06-11 04:00:12,2025-06-11 04:38:12
1000LUNC-USD-SWAP-LIN,5e-06,2025-06-11 01:00:05,2025-06-11 01:58:24
1000LUNC-USD-SWAP-LIN,2e-06,2025-06-11 03:00:07,2025-06-11 03:22:37
1000LUNC-USD-SWAP-LIN,2e-06,2025-06-11 04:00:04,2025-06-11 04:34:21
1000MOG-USD-SWAP-LIN,1.3e-05,2025-06-11 01:00:06,2025-06-11 01:59:05
1000MOG-USD-SWAP-LIN,9e-06,2025-06-11 03:00:08,2025-06-11 03:23:17
1000MOG-USD-SWAP-LIN,1.5e-05,2025-06-11 04:00:05,2025-06-11 04:35:01
1000NEIRO1ETH-USD-SWAP-LIN,1e-06,2025-06-11 02:00:14,2025-06-11 02:04:23
1000NEIRO1ETH-USD-SWAP-LIN,1e-06,2025-06-11 03:00:14,2025-06-11 03:28:34
1000NEIRO1ETH-USD-SWAP-LIN,-2e-06,2025-06-11 04:00:14,2025-06-11 04:40:20
1000PEPE-USD-SWAP-LIN,-5e-06,2025-06-11 01:00:06,2025-06-11 01:59:08
1000PEPE-USD-SWAP-LIN,-1.1e-05,2025-06-11 03:00:08,2025-06-11 03:23:21
1000PEPE-USD-SWAP-LIN,-5e-06,2025-06-11 04:00:05,2025-06-11 04:35:05
1000PORK-USD-SWAP-LIN,8e-06,2025-06-11 02:00:14,2025-06-11 02:04:45
1000PORK-USD-SWAP-LIN,7e-06,2025-06-11 03:00:14,2025-06-11 03:28:56
1000PORK-USD-SWAP-LIN,-1e-06,2025-06-11 04:00:14,2025-06-11 04:40:41
1000SATS-USD-SWAP-LIN,-4.6e-05,2025-06-11 02:00:14,2025-06-11 02:05:07
1000SATS-USD-SWAP-LIN,-2.8e-05,2025-06-11 03:00:15,2025-06-11 03:29:17
1000SATS-USD-SWAP-LIN,-4.7e-05,2025-06-11 04:00:15,2025-06-11 04:41:02
1000SHIB-USD-SWAP-LIN,-1.5e-05,2025-06-11 02:00:10,2025-06-11 02:02:13
1000SHIB-USD-SWAP-LIN,-1.6e-05,2025-06-11 03:00:12,2025-06-11 03:26:24
1000SHIB-USD-SWAP-LIN,-1.6e-05,2025-06-11 04:00:12,2025-06-11 04:38:09
1000TOSHI-USD-SWAP-LIN,2e-06,2025-06-11 02:00:13,2025-06-11 02:03:51
1000TOSHI-USD-SWAP-LIN,3e-06,2025-06-11 03:00:13,2025-06-11 03:28:02
1000TOSHI-USD-SWAP-LIN,-1e-06,2025-06-11 04:00:14,2025-06-11 04:39:47
1000USA-USD-SWAP-LIN,0.000397,2025-06-11 02:00:13,2025-06-11 02:03:44
1000USA-USD-SWAP-LIN,0.000423,2025-06-11 03:00:13,2025-06-11 03:27:55
1000USA-USD-SWAP-LIN,0.000445,2025-06-11 04:00:14,2025-06-11 04:39:40
1000WEN-USD-SWAP-LIN,-2e-06,2025-06-11 02:00:13,2025-06-11 02:03:14
1000WEN-USD-SWAP-LIN,7e-06,2025-06-11 03:00:13,2025-06-11 03:27:26
1000WEN-USD-SWAP-LIN,-6e-06,2025-06-11 04:00:13,2025-06-11 04:39:10
1000WHY-USD-SWAP-LIN,-4.2e-05,2025-06-11 02:00:13,2025-06-11 02:03:48
1000WHY-USD-SWAP-LIN,-2.7e-05,2025-06-11 03:00:13,2025-06-11 03:27:58
1000WHY-USD-SWAP-LIN,-1.9e-05,2025-06-11 04:00:14,2025-06-11 04:39:44
1000WUF-USD-SWAP-LIN,2.5e-05,2025-06-11 02:00:14,2025-06-11 02:04:16
1000WUF-USD-SWAP-LIN,2.5e-05,2025-06-11 03:00:14,2025-06-11 03:28:27
1000WUF-USD-SWAP-LIN,2.1e-05,2025-06-11 04:00:14,2025-06-11 04:40:12
AAVE-USD-SWAP-LIN,-2e-05,2025-06-11 01:00:10,2025-06-11 01:59:26
AAVE-USD-SWAP-LIN,-1.6e-05,2025-06-11 03:00:09,2025-06-11 03:23:39
AAVE-USD-SWAP-LIN,-1.7e-05,2025-06-11 04:00:09,2025-06-11 04:35:22
ACE-USD-SWAP-LIN,-1.8e-05,2025-06-11 01:00:06,2025-06-11 01:58:54
ACE-USD-SWAP-LIN,-2.8e-05,2025-06-11 03:00:08,2025-06-11 03:23:06
ACE-USD-SWAP-LIN,-2.7e-05,2025-06-11 04:00:04,2025-06-11 04:34:50
ACT-USD-SWAP-LIN,-8e-06,2025-06-11 02:00:15,2025-06-11 02:06:23
ACT-USD-SWAP-LIN,-9e-06,2025-06-11 03:00:18,2025-06-11 03:30:33
ACT-USD-SWAP-LIN,-9e-06,2025-06-11 04:00:16,2025-06-11 04:42:18
ACX-USD-SWAP-LIN,-3.9e-05,2025-06-11 02:00:19,2025-06-11 02:10:34
ACX-USD-SWAP-LIN,-4.6e-05,2025-06-11 03:00:22,2025-06-11 03:34:45
ACX-USD-SWAP-LIN,-3.6e-05,2025-06-11 04:00:21,2025-06-11 04:46:27
ADA-USD-SWAP-LIN,-8e-06,2025-06-11 01:00:03,2025-06-11 01:56:17
ADA-USD-SWAP-LIN,-1.1e-05,2025-06-11 03:00:05,2025-06-11 03:20:32
ADA-USD-SWAP-LIN,-1.4e-05,2025-06-11 04:00:02,2025-06-11 04:32:15
AERO-USD-SWAP-LIN,2e-06,2025-06-11 02:00:09,2025-06-11 02:01:30
AERO-USD-SWAP-LIN,0.0,2025-06-11 03:00:11,2025-06-11 03:25:41
AERO-USD-SWAP-LIN,0.0,2025-06-11 04:00:12,2025-06-11 04:37:25
AEVO-USD-SWAP-LIN,-1.5e-05,2025-06-11 02:00:09,2025-06-11 02:01:15
AEVO-USD-SWAP-LIN,-1.9e-05,2025-06-11 03:00:11,2025-06-11 03:25:27
AEVO-USD-SWAP-LIN,-2.1e-05,2025-06-11 04:00:11,2025-06-11 04:37:11
AGLD-USD-SWAP-LIN,1e-06,2025-06-11 02:00:16,2025-06-11 02:07:18
AGLD-USD-SWAP-LIN,-1e-06,2025-06-11 03:00:19,2025-06-11 03:31:28
AGLD-USD-SWAP-LIN,0.0,2025-06-11 04:00:17,2025-06-11 04:43:12
AI16Z-USD-SWAP-LIN,5e-06,2025-06-11 02:00:17,2025-06-11 02:08:56
AI16Z-USD-SWAP-LIN,5e-06,2025-06-11 03:00:21,2025-06-11 03:33:06
AI16Z-USD-SWAP-LIN,4e-06,2025-06-11 04:00:18,2025-06-11 04:44:49
AIMEMECOIN-USD-SWAP-LIN,2e-06,2025-06-11 02:00:17,2025-06-11 02:08:30
AIMEMECOIN-USD-SWAP-LIN,-2e-06,2025-06-11 03:00:20,2025-06-11 03:32:41
AIMEMECOIN-USD-SWAP-LIN,1e-06,2025-06-11 04:00:18,2025-06-11 04:44:24
AIXBT-USD-SWAP-LIN,2.7e-05,2025-06-11 02:00:17,2025-06-11 02:08:38
AIXBT-USD-SWAP-LIN,2.6e-05,2025-06-11 03:00:20,2025-06-11 03:32:48
AIXBT-USD-SWAP-LIN,2.5e-05,2025-06-11 04:00:18,2025-06-11 04:44:31
ALCH-USD-SWAP-LIN,2.2e-05,2025-06-11 02:00:18,2025-06-11 02:09:21
ALCH-USD-SWAP-LIN,2.5e-05,2025-06-11 03:00:21,2025-06-11 03:33:31
ALCH-USD-SWAP-LIN,2e-05,2025-06-11 04:00:20,2025-06-11 04:45:14
ALGO-USD-SWAP-LIN,-2.7e-05,2025-06-11 02:00:18,2025-06-11 02:09:46
ALGO-USD-SWAP-LIN,-2.5e-05,2025-06-11 03:00:22,2025-06-11 03:33:57
ALGO-USD-SWAP-LIN,-2.2e-05,2025-06-11 04:00:21,2025-06-11 04:45:39
ALT-USD-SWAP-LIN,-1.9e-05,2025-06-11 01:00:04,2025-06-11 01:57:19
ALT-USD-SWAP-LIN,-4.4e-05,2025-06-11 03:00:06,2025-06-11 03:21:32
ALT-USD-SWAP-LIN,-4e-06,2025-06-11 04:00:03,2025-06-11 04:33:17
ANIME-USD-SWAP-LIN,-0.000116,2025-06-11 02:00:21,2025-06-11 02:12:50
ANIME-USD-SWAP-LIN,-0.00015,2025-06-11 03:00:24,2025-06-11 03:37:02
ANIME-USD-SWAP-LIN,-0.000127,2025-06-11 04:00:23,2025-06-11 04:48:46
ANSEM-USD-SWAP-LIN,0.0,2025-06-11 02:00:16,2025-06-11 02:07:33
ANSEM-USD-SWAP-LIN,-1e-06,2025-06-11 03:00:19,2025-06-11 03:31:43
ANSEM-USD-SWAP-LIN,-3e-06,2025-06-11 04:00:17,2025-06-11 04:43:27
APE-USD-SWAP-LIN,-1e-05,2025-06-11 02:00:09,2025-06-11 02:01:04
APE-USD-SWAP-LIN,-1.3e-05,2025-06-11 03:00:11,2025-06-11 03:25:16
APE-USD-SWAP-LIN,-1.4e-05,2025-06-11 04:00:11,2025-06-11 04:36:59
API3-USD-SWAP-LIN,-3e-06,2025-06-11 01:00:04,2025-06-11 01:57:22
API3-USD-SWAP-LIN,-1.3e-05,2025-06-11 03:00:06,2025-06-11 03:21:36
API3-USD-SWAP-LIN,-2e-05,2025-06-11 04:00:03,2025-06-11 04:33:21
APT-USD-SWAP-LIN,1e-06,2025-06-11 01:00:05,2025-06-11 01:58:35
APT-USD-SWAP-LIN,-4e-06,2025-06-11 03:00:07,2025-06-11 03:22:49
APT-USD-SWAP-LIN,0.0,2025-06-11 04:00:04,2025-06-11 04:34:32
APU-USD-SWAP-LIN,3.9e-05,2025-06-11 02:00:13,2025-06-11 02:03:00
APU-USD-SWAP-LIN,4e-05,2025-06-11 03:00:13,2025-06-11 03:27:11
APU-USD-SWAP-LIN,4e-05,2025-06-11 04:00:13,2025-06-11 04:38:56
AR-USD-SWAP-LIN,-2.7e-05,2025-06-11 02:00:15,2025-06-11 02:05:55
AR-USD-SWAP-LIN,-3.2e-05,2025-06-11 03:00:18,2025-06-11 03:30:05
AR-USD-SWAP-LIN,-3.3e-05,2025-06-11 04:00:15,2025-06-11 04:41:49
ARB-USD-SWAP-LIN,-7e-06,2025-06-11 01:00:03,2025-06-11 01:56:31
ARB-USD-SWAP-LIN,-1.1e-05,2025-06-11 03:00:06,2025-06-11 03:20:46
ARB-USD-SWAP-LIN,-1.2e-05,2025-06-11 04:00:03,2025-06-11 04:32:29
ARC-USD-SWAP-LIN,2.8e-05,2025-06-11 02:00:19,2025-06-11 02:10:59
ARC-USD-SWAP-LIN,2.4e-05,2025-06-11 03:00:22,2025-06-11 03:35:10
ARC-USD-SWAP-LIN,2.8e-05,2025-06-11 04:00:21,2025-06-11 04:46:52
ARKM-USD-SWAP-LIN,1e-05,2025-06-11 02:00:09,2025-06-11 02:01:33
ARKM-USD-SWAP-LIN,7e-06,2025-06-11 03:00:11,2025-06-11 03:25:45
ARKM-USD-SWAP-LIN,5e-06,2025-06-11 04:00:12,2025-06-11 04:37:28
ASTRO-USD-SWAP-LIN,8.8e-05,2025-06-11 02:00:17,2025-06-11 02:08:59
ASTRO-USD-SWAP-LIN,8.7e-05,2025-06-11 03:00:21,2025-06-11 03:33:09
ASTRO-USD-SWAP-LIN,8.6e-05,2025-06-11 04:00:18,2025-06-11 04:44:53
ATOM-USD-SWAP-LIN,-1.2e-05,2025-06-11 01:00:05,2025-06-11 01:58:39
ATOM-USD-SWAP-LIN,-1.6e-05,2025-06-11 03:00:07,2025-06-11 03:22:51
ATOM-USD-SWAP-LIN,-1.3e-05,2025-06-11 04:00:04,2025-06-11 04:34:36
AVA-USD-SWAP-LIN,-9e-06,2025-06-11 02:00:17,2025-06-11 02:08:20
AVA-USD-SWAP-LIN,-1.3e-05,2025-06-11 03:00:20,2025-06-11 03:32:29
AVA-USD-SWAP-LIN,-8e-06,2025-06-11 04:00:17,2025-06-11 04:44:14
AVAX-USD-SWAP-LIN,0.0,2025-06-11 01:00:03,2025-06-11 01:56:20
AVAX-USD-SWAP-LIN,-4e-06,2025-06-11 03:00:05,2025-06-11 03:20:35
AVAX-USD-SWAP-LIN,-5e-06,2025-06-11 04:00:03,2025-06-11 04:32:18
AXL-USD-SWAP-LIN,-0.001928,2025-06-11 02:00:09,2025-06-11 02:00:50
AXL-USD-SWAP-LIN,-0.001596,2025-06-11 03:00:11,2025-06-11 03:25:02
AXL-USD-SWAP-LIN,-0.001464,2025-06-11 04:00:11,2025-06-11 04:36:45
B-USD-SWAP-LIN,1e-06,2025-06-11 02:00:25,2025-06-11 02:16:53
B-USD-SWAP-LIN,2e-06,2025-06-11 03:00:28,2025-06-11 03:41:05
B-USD-SWAP-LIN,0.0,2025-06-11 04:00:28,2025-06-11 04:52:46
B3-USD-SWAP-LIN,1.6e-05,2025-06-11 02:00:22,2025-06-11 02:13:41
B3-USD-SWAP-LIN,1.3e-05,2025-06-11 03:00:25,2025-06-11 03:37:53
B3-USD-SWAP-LIN,1e-05,2025-06-11 04:00:24,2025-06-11 04:49:36
BABY-USD-SWAP-LIN,-3.8e-05,2025-06-11 02:00:23,2025-06-11 02:15:18
BABY-USD-SWAP-LIN,-3.7e-05,2025-06-11 03:00:26,2025-06-11 03:39:31
BABY-USD-SWAP-LIN,-4.1e-05,2025-06-11 04:00:26,2025-06-11 04:51:12
BAN-USD-SWAP-LIN,6e-06,2025-06-11 02:00:16,2025-06-11 02:06:57
BAN-USD-SWAP-LIN,6e-06,2025-06-11 03:00:19,2025-06-11 03:31:06
BAN-USD-SWAP-LIN,3e-06,2025-06-11 04:00:17,2025-06-11 04:42:50
BANANA-USD-SWAP-LIN,-2.3e-05,2025-06-11 02:00:13,2025-06-11 02:03:29
BANANA-USD-SWAP-LIN,-2.6e-05,2025-06-11 03:00:13,2025-06-11 03:27:40
BANANA-USD-SWAP-LIN,-3.1e-05,2025-06-11 04:00:13,2025-06-11 04:39:24
BANANABSC-USD-SWAP-LIN,-2e-06,2025-06-11 02:00:18,2025-06-11 02:09:14
BANANABSC-USD-SWAP-LIN,-1e-05,2025-06-11 03:00:21,2025-06-11 03:33:24
BANANABSC-USD-SWAP-LIN,-3e-06,2025-06-11 04:00:19,2025-06-11 04:45:07
BASEISFOREVERYONE-USD-SWAP-LIN,-1.4e-05,2025-06-11 02:00:23,2025-06-11 02:15:22
BASEISFOREVERYONE-USD-SWAP-LIN,-1.8e-05,2025-06-11 03:00:27,2025-06-11 03:39:34
BASEISFOREVERYONE-USD-SWAP-LIN,-9e-06,2025-06-11 04:00:26,2025-06-11 04:51:16
BCH-USD-SWAP-LIN,-3.3e-05,2025-06-11 01:00:10,2025-06-11 01:59:37
BCH-USD-SWAP-LIN,-2.9e-05,2025-06-11 03:00:09,2025-06-11 03:23:49
BCH-USD-SWAP-LIN,-3.2e-05,2025-06-11 04:00:09,2025-06-11 04:35:33
BEAM-USD-SWAP-LIN,2e-06,2025-06-11 02:00:08,2025-06-11 02:00:29
BEAM-USD-SWAP-LIN,-1e-06,2025-06-11 03:00:11,2025-06-11 03:24:40
BEAM-USD-SWAP-LIN,1e-06,2025-06-11 04:00:11,2025-06-11 04:36:24
BERA-USD-SWAP-LIN,2e-06,2025-06-11 02:00:21,2025-06-11 02:13:27
BERA-USD-SWAP-LIN,-1e-06,2025-06-11 03:00:25,2025-06-11 03:37:38
BERA-USD-SWAP-LIN,0.0,2025-06-11 04:00:24,2025-06-11 04:49:22
BERTR-USD-SWAP-LIN,2.3e-05,2025-06-11 02:00:25,2025-06-11 02:16:45
BERTR-USD-SWAP-LIN,-3.2e-05,2025-06-11 03:00:28,2025-06-11 03:40:58
BERTR-USD-SWAP-LIN,-5.3e-05,2025-06-11 04:00:28,2025-06-11 04:52:39
BIFI-USD-SWAP-LIN,2e-06,2025-06-11 02:00:19,2025-06-11 02:10:45
BIFI-USD-SWAP-LIN,1.1e-05,2025-06-11 03:00:22,2025-06-11 03:34:55
BIFI-USD-SWAP-LIN,1e-06,2025-06-11 04:00:21,2025-06-11 04:46:38
BIGTIME-USD-SWAP-LIN,5e-06,2025-06-11 01:00:04,2025-06-11 01:57:41
BIGTIME-USD-SWAP-LIN,1e-06,2025-06-11 03:00:07,2025-06-11 03:21:54
BIGTIME-USD-SWAP-LIN,4e-06,2025-06-11 04:00:04,2025-06-11 04:33:39
BIO-USD-SWAP-LIN,-3.7e-05,2025-06-11 02:00:20,2025-06-11 02:11:56
BIO-USD-SWAP-LIN,-4.3e-05,2025-06-11 03:00:23,2025-06-11 03:36:08
BIO-USD-SWAP-LIN,-3.2e-05,2025-06-11 04:00:22,2025-06-11 04:47:51
BITCOIN-USD-SWAP-LIN,2e-06,2025-06-11 01:00:09,2025-06-11 01:59:12
