market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,-2.4e-05,2025-05-30 02:00:18,2025-05-30 02:00:37
100000BABYDOGE-USD-SWAP-LIN,7e-06,2025-05-30 03:00:18,2025-05-30 03:23:06
100000BABYDOGE-USD-SWAP-LIN,6e-06,2025-05-30 04:00:16,2025-05-30 04:38:43
100000JAGER-USD-SWAP-LIN,-3e-06,2025-05-30 02:00:29,2025-05-30 02:11:13
100000JAGER-USD-SWAP-LIN,2.6e-05,2025-05-30 03:00:29,2025-05-30 03:33:43
100000JAGER-USD-SWAP-LIN,5e-06,2025-05-30 04:00:26,2025-05-30 04:49:19
10000CAW-USD-SWAP-LIN,-4e-06,2025-05-30 01:00:17,2025-05-30 01:58:56
10000CAW-USD-SWAP-LIN,1e-06,2025-05-30 03:00:16,2025-05-30 03:21:26
10000CAW-USD-SWAP-LIN,-2e-06,2025-05-30 04:00:11,2025-05-30 04:37:02
1000ANDY-USD-SWAP-LIN,-4.7e-05,2025-05-30 01:00:16,2025-05-30 01:57:22
1000ANDY-USD-SWAP-LIN,-5e-05,2025-05-30 03:00:14,2025-05-30 03:19:53
1000ANDY-USD-SWAP-LIN,-5e-05,2025-05-30 04:00:09,2025-05-30 04:35:29
1000BOBO-USD-SWAP-LIN,2.9e-05,2025-05-30 01:00:17,2025-05-30 01:58:13
1000BOBO-USD-SWAP-LIN,2.2e-05,2025-05-30 03:00:15,2025-05-30 03:20:43
1000BOBO-USD-SWAP-LIN,2.6e-05,2025-05-30 04:00:10,2025-05-30 04:36:19
1000BONK-USD-SWAP-LIN,-2.3e-05,2025-05-30 01:00:15,2025-05-30 01:57:08
1000BONK-USD-SWAP-LIN,-3.1e-05,2025-05-30 03:00:14,2025-05-30 03:19:39
1000BONK-USD-SWAP-LIN,-3.2e-05,2025-05-30 04:00:09,2025-05-30 04:35:15
1000CAT-USD-SWAP-LIN,1e-05,2025-05-30 01:00:18,2025-05-30 01:59:39
1000CAT-USD-SWAP-LIN,-3e-06,2025-05-30 03:00:17,2025-05-30 03:22:09
1000CAT-USD-SWAP-LIN,-1e-06,2025-05-30 04:00:11,2025-05-30 04:37:46
1000CHEEMS-USD-SWAP-LIN,-1e-06,2025-05-30 02:00:18,2025-05-30 02:00:48
1000CHEEMS-USD-SWAP-LIN,-2e-06,2025-05-30 03:00:18,2025-05-30 03:23:17
1000CHEEMS-USD-SWAP-LIN,0.0,2025-05-30 04:00:16,2025-05-30 04:38:54
1000COQ-USD-SWAP-LIN,3e-06,2025-05-30 01:00:16,2025-05-30 01:57:26
1000COQ-USD-SWAP-LIN,5e-06,2025-05-30 03:00:14,2025-05-30 03:19:57
1000COQ-USD-SWAP-LIN,6e-06,2025-05-30 04:00:09,2025-05-30 04:35:33
1000FLOKI-USD-SWAP-LIN,-8e-06,2025-05-30 01:00:16,2025-05-30 01:57:18
1000FLOKI-USD-SWAP-LIN,-3.3e-05,2025-05-30 03:00:14,2025-05-30 03:19:50
1000FLOKI-USD-SWAP-LIN,-3.4e-05,2025-05-30 04:00:09,2025-05-30 04:35:26
1000LUNC-USD-SWAP-LIN,6e-06,2025-05-30 01:00:10,2025-05-30 01:53:28
1000LUNC-USD-SWAP-LIN,4e-06,2025-05-30 03:00:05,2025-05-30 03:15:59
1000LUNC-USD-SWAP-LIN,2e-06,2025-05-30 04:00:05,2025-05-30 04:31:36
1000MOG-USD-SWAP-LIN,4.4e-05,2025-05-30 01:00:11,2025-05-30 01:54:08
1000MOG-USD-SWAP-LIN,2.8e-05,2025-05-30 03:00:06,2025-05-30 03:16:37
1000MOG-USD-SWAP-LIN,3.3e-05,2025-05-30 04:00:05,2025-05-30 04:32:15
