market_code,funding_rate,timestamp,collection_time
100000BABYDOGE-USD-SWAP-LIN,6e-06,2025-06-02 02:00:14,2025-06-02 02:08:10
100000BABYDOGE-USD-SWAP-LIN,7e-06,2025-06-02 03:00:11,2025-06-02 03:33:38
100000BABYDOGE-USD-SWAP-LIN,7e-06,2025-06-02 04:00:11,2025-06-02 04:42:48
100000BABYDOGE-USD-SWAP-LIN,7e-06,2025-06-02 05:00:11,2025-06-02 05:33:28
100000BABYDOGE-USD-SWAP-LIN,6e-06,2025-06-02 06:00:11,2025-06-02 06:44:39
100000JAGER-USD-SWAP-LIN,-1e-05,2025-06-02 02:00:24,2025-06-02 02:18:41
100000JAGER-USD-SWAP-LIN,9.6e-05,2025-06-02 03:00:25,2025-06-02 03:44:11
100000JAGER-USD-SWAP-LIN,0.000127,2025-06-02 04:00:22,2025-06-02 04:53:23
100000JAGER-USD-SWAP-LIN,0.0,2025-06-02 05:00:19,2025-06-02 05:44:02
100000JAGER-USD-SWAP-LIN,-4e-06,2025-06-02 06:00:21,2025-06-02 06:55:13
10000CAW-USD-SWAP-LIN,3e-06,2025-06-02 02:00:11,2025-06-02 02:06:29
10000CAW-USD-SWAP-LIN,2e-06,2025-06-02 03:00:10,2025-06-02 03:31:57
10000CAW-USD-SWAP-LIN,2e-06,2025-06-02 04:00:10,2025-06-02 04:41:07
10000CAW-USD-SWAP-LIN,2.2e-05,2025-06-02 05:00:10,2025-06-02 05:31:47
10000CAW-USD-SWAP-LIN,3e-06,2025-06-02 06:00:10,2025-06-02 06:42:59
1000ANDY-USD-SWAP-LIN,0.0,2025-06-02 02:00:09,2025-06-02 02:04:56
1000ANDY-USD-SWAP-LIN,3e-06,2025-06-02 03:00:09,2025-06-02 03:30:25
1000ANDY-USD-SWAP-LIN,5e-06,2025-06-02 04:00:08,2025-06-02 04:39:33
1000ANDY-USD-SWAP-LIN,5e-06,2025-06-02 05:00:08,2025-06-02 05:30:12
1000ANDY-USD-SWAP-LIN,8e-06,2025-06-02 06:00:09,2025-06-02 06:41:25
1000BOBO-USD-SWAP-LIN,3.1e-05,2025-06-02 02:00:10,2025-06-02 02:05:46
1000BOBO-USD-SWAP-LIN,4.6e-05,2025-06-02 03:00:10,2025-06-02 03:31:15
1000BOBO-USD-SWAP-LIN,3.1e-05,2025-06-02 04:00:09,2025-06-02 04:40:23
1000BOBO-USD-SWAP-LIN,2.6e-05,2025-06-02 05:00:09,2025-06-02 05:31:03
1000BOBO-USD-SWAP-LIN,3.5e-05,2025-06-02 06:00:10,2025-06-02 06:42:15
1000BONK-USD-SWAP-LIN,-2.9e-05,2025-06-02 02:00:09,2025-06-02 02:04:41
1000BONK-USD-SWAP-LIN,-2.5e-05,2025-06-02 03:00:08,2025-06-02 03:30:11
